conference,tmID,predicted_win_pct,predicted_wins,actual_win_pct,actual_wins,predicted_rank,actual_rank,rank_diff
WNBA,CON,0.627486298739288,21.0,0.4705882352941176,16.0,1,7,-6
WNBA,SEA,0.5893316609888772,20.0,0.5882352941176471,20.0,2,3,-1
WNBA,PHO,0.5727304255405861,19.0,0.6764705882352942,23.0,3,1,2
WNBA,DET,0.5527846159678511,19.0,0.5483870967741935,19.0,4,4,0
WNBA,SAS,0.5493331399126572,19.0,0.4411764705882353,15.0,5,10,-5
WNBA,LAS,0.5314583492191897,18.0,0.5294117647058824,18.0,6,5,1
WNBA,ATL,0.4987434306599867,17.0,0.5294117647058824,18.0,7,5,2
WNBA,MIN,0.49709974804437457,17.0,0.4117647058823529,14.0,8,12,-4
WNBA,HOU,0.49282773134082,17.0,,,9,0,9
WNBA,CHI,0.48460406080840107,16.0,0.4705882352941176,16.0,10,7,3
WNBA,IND,0.48300051700483665,16.0,0.6470588235294118,22.0,11,2,9
WNBA,NYL,0.48293161776526444,16.0,0.4117647058823529,14.0,12,12,0
WNBA,SAC,0.4797800906072042,16.0,0.4285714285714285,15.0,13,10,3
WNBA,WAS,0.4656029735009157,16.0,0.4705882352941176,16.0,14,7,7
